temp= None °C, humidity =21.461958129903174 %, pressure = None hpa
temp= 28 °C, humidity =28.49939697740099 %, pressure = 1064.9653714280153 hpa
temp= 28 °C, humidity =60.948818590325274 %, pressure = 1064.9653714280153 hpa
temp= 20 °C, humidity =60.948818590325274 %, pressure = 1064.9653714280153 hpa
temp= 30 °C, humidity =60.948818590325274 %, pressure = 1064.9653714280153 hpa
temp= 30 °C, humidity =65.6134359448659 %, pressure = 1064.9653714280153 hpa
temp= 30 °C, humidity =65.6134359448659 %, pressure = 1065.6188528819832 hpa
temp= 19 °C, humidity =65.6134359448659 %, pressure = 1065.6188528819832 hpa
temp= 18 °C, humidity =65.6134359448659 %, pressure = 1065.6188528819832 hpa
temp= 18 °C, humidity =72.3000192610786 %, pressure = 1065.6188528819832 hpa
temp= 34 °C, humidity =72.3000192610786 %, pressure = 1065.6188528819832 hpa
temp= 34 °C, humidity =72.3000192610786 %, pressure = 909.9442252867273 hpa
temp= 35 °C, humidity =72.3000192610786 %, pressure = 909.9442252867273 hpa
temp= 35 °C, humidity =99.88461700093181 %, pressure = 909.9442252867273 hpa
temp= 15 °C, humidity =99.88461700093181 %, pressure = 909.9442252867273 hpa
temp= 27 °C, humidity =99.88461700093181 %, pressure = 909.9442252867273 hpa
temp= 27 °C, humidity =60.60142823374889 %, pressure = 909.9442252867273 hpa
temp= 27 °C, humidity =60.60142823374889 %, pressure = 1031.1996041010382 hpa
temp= 20 °C, humidity =60.60142823374889 %, pressure = 1031.1996041010382 hpa
temp= 27 °C, humidity =60.60142823374889 %, pressure = 1031.1996041010382 hpa
temp= 27 °C, humidity =68.38944440710321 %, pressure = 1031.1996041010382 hpa
temp= 31 °C, humidity =68.38944440710321 %, pressure = 1031.1996041010382 hpa
temp= 31 °C, humidity =68.38944440710321 %, pressure = 959.9999762656905 hpa
temp= 25 °C, humidity =68.38944440710321 %, pressure = 959.9999762656905 hpa
temp= 25 °C, humidity =34.948691054075155 %, pressure = 959.9999762656905 hpa
temp= 33 °C, humidity =34.948691054075155 %, pressure = 959.9999762656905 hpa
temp= 25 °C, humidity =34.948691054075155 %, pressure = 959.9999762656905 hpa
temp= 25 °C, humidity =48.18874733217501 %, pressure = 959.9999762656905 hpa
temp= 25 °C, humidity =48.18874733217501 %, pressure = 1095.6463715125037 hpa
temp= 31 °C, humidity =48.18874733217501 %, pressure = 1095.6463715125037 hpa
temp= 31 °C, humidity =48.18874733217501 %, pressure = 1095.6463715125037 hpa
temp= 31 °C, humidity =42.566231429987226 %, pressure = 1095.6463715125037 hpa
temp= 20 °C, humidity =42.566231429987226 %, pressure = 1095.6463715125037 hpa
temp= 20 °C, humidity =42.566231429987226 %, pressure = 1035.3563420665125 hpa
temp= 29 °C, humidity =42.566231429987226 %, pressure = 1035.3563420665125 hpa
temp= 29 °C, humidity =21.777217611573416 %, pressure = 1035.3563420665125 hpa
temp= 38 °C, humidity =21.777217611573416 %, pressure = 1035.3563420665125 hpa
temp= 29 °C, humidity =21.777217611573416 %, pressure = 1035.3563420665125 hpa
temp= 29 °C, humidity =87.67164074236693 %, pressure = 1035.3563420665125 hpa
temp= 29 °C, humidity =87.67164074236693 %, pressure = 1080.1768755482494 hpa
temp= 27 °C, humidity =87.67164074236693 %, pressure = 1080.1768755482494 hpa
temp= 22 °C, humidity =87.67164074236693 %, pressure = 1080.1768755482494 hpa
temp= 22 °C, humidity =65.59827803868028 %, pressure = 1080.1768755482494 hpa
temp= 38 °C, humidity =65.59827803868028 %, pressure = 1080.1768755482494 hpa
temp= 38 °C, humidity =65.59827803868028 %, pressure = 900.5163736362354 hpa
temp= 33 °C, humidity =65.59827803868028 %, pressure = 900.5163736362354 hpa
temp= 33 °C, humidity =40.82615811358317 %, pressure = 900.5163736362354 hpa
temp= 21 °C, humidity =40.82615811358317 %, pressure = 900.5163736362354 hpa
temp= 33 °C, humidity =40.82615811358317 %, pressure = 900.5163736362354 hpa
temp= 33 °C, humidity =66.85435615050679 %, pressure = 900.5163736362354 hpa
temp= 33 °C, humidity =66.85435615050679 %, pressure = 1026.313137449829 hpa
temp= 18 °C, humidity =66.85435615050679 %, pressure = 1026.313137449829 hpa
temp= 34 °C, humidity =66.85435615050679 %, pressure = 1026.313137449829 hpa
temp= 34 °C, humidity =93.62522995709575 %, pressure = 1026.313137449829 hpa
temp= 29 °C, humidity =93.62522995709575 %, pressure = 1026.313137449829 hpa
temp= 29 °C, humidity =93.62522995709575 %, pressure = 921.9892607822873 hpa
temp= 40 °C, humidity =93.62522995709575 %, pressure = 921.9892607822873 hpa
temp= 40 °C, humidity =87.39652456924995 %, pressure = 921.9892607822873 hpa
temp= 15 °C, humidity =87.39652456924995 %, pressure = 921.9892607822873 hpa
temp= 27 °C, humidity =87.39652456924995 %, pressure = 921.9892607822873 hpa
temp= 27 °C, humidity =54.27781723030569 %, pressure = 921.9892607822873 hpa
